True_Labels,LR_no_PVC,XGBoost_no_PVC,KAN_no_PVC
0,0.010977270153580472,0.010084506,5.398199e-12
0,0.02837137724994222,0.0074981297,0.08525541
0,0.116768171915593,0.009012274,0.20363967
0,0.10310182440221724,0.004008273,0.08301196
0,0.27525303696210635,0.02786934,0.09605401
0,0.286480825204825,0.059830263,0.27529806
0,0.038823268784721726,0.08137909,0.18784124
0,0.1488710025728633,0.008663011,0.060411084
0,0.42852369714191274,0.48444518,0.33825153
0,0.5019529257205049,0.15719265,0.3078057
0,0.33299459782582547,0.4889346,0.35323596
0,0.18593746746253995,0.024475511,0.16203374
0,0.03737545978478542,0.00035936592,4.44381e-07
0,0.09774620172517601,0.028891427,2.1579854e-06
0,0.0810335089711011,0.0035980805,4.3657955e-08
0,0.18222473587842009,0.038709544,3.66175e-07
0,0.053421575213002975,0.0034031088,3.0483855e-06
0,0.13384496954335612,0.00097101764,0.00032953953
0,0.18770661608770103,0.0062409076,0.0004803325
0,0.09996830147536177,0.00076359353,0.008001299
0,0.24510337599457332,0.0037691987,0.09798143
0,0.162750894916085,0.054441497,0.19683573
0,0.16809443407895933,0.0642246,0.19296165
0,0.13232828536963706,0.053635765,0.28582495
0,0.3659566076622325,0.5350838,0.30867773
0,0.3243305915513894,0.009411341,0.21060094
0,0.21668079869801715,0.04950503,0.13031623
0,0.08141978805432858,0.08040432,0.15335266
0,0.2524739213981572,0.030116217,0.1684366
0,0.23644675265872195,0.01723163,0.03215894
0,0.2893424255014686,0.16317676,0.21736315
0,0.11995971325517953,0.001981834,0.064343125
0,0.19353598813502423,0.05395611,0.06500276
0,0.1267042737310761,0.002425812,0.00137042
0,0.15293854505240018,0.017171478,0.057788264
0,0.008576583736967062,0.00013593132,1.3392205e-11
0,0.021662486178714295,0.0023029342,2.540942e-08
0,0.027885636970444907,0.00078500103,1.1984854e-05
0,0.07925833753834563,0.0038676327,0.0012985193
0,0.0692241992562889,0.0032035292,0.00540829
0,0.08566898039053167,0.01856407,0.07111646
0,0.04134253476729679,0.18983912,0.2906751
0,0.11078616382307613,0.010479356,0.113266535
0,0.07118801305693308,0.019694762,0.061567202
0,0.038539964191274124,0.18908384,0.107900366
0,0.22920519701329595,0.07172541,0.44786245
0,0.1904224842291848,0.034442153,0.21333987
0,0.21251105646324037,0.055097613,0.39672333
0,0.10935639885186883,0.014085528,0.043575633
0,0.22772547500532386,0.111780524,0.054377288
0,0.10915356867357191,0.0062232153,0.04175709
0,0.07123693763488223,0.0029349322,0.05268785
0,0.1298931487661327,0.007045237,0.06710801
0,0.13454882573193588,0.19220798,0.25984237
0,0.1737248761090551,0.014532882,0.1599991
0,0.1768961429670577,0.1248873,0.25370753
0,0.07439375594815206,0.005981172,0.1590918
0,0.3091392412906866,0.021220738,0.08618957
0,0.06589314912704959,0.0035750738,0.02572277
